,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
9,"350Andrew OmobamideleNottingham Forest, 21, D(C)","Andrew Omobamidele Nottingham Forest, 21, D(C)",4(2),406,1.3,1.3,0.5,0.2,4.8,0.5,0.8,-,6.39
0,"351Milos KerkezBournemouth, 20, D(L),M(L)","Milos Kerkez Bournemouth, 20, D(L),M(L)",14(5),1316,1.8,0.6,0.9,0.1,2.1,0.5,0.4,1,6.38
1,"352Rodrigo BentancurTottenham, 26, M(C)","Rodrigo Bentancur Tottenham, 26, M(C)",7(4),491,1,0.5,0.7,-,1.0,0.6,0.2,-,6.38
2,"353Sofyan AmrabatMan Utd, 27, D(L),DMC","Sofyan Amrabat Man Utd, 27, D(L),DMC",7(5),617,1.8,0.4,1.2,-,1.0,0.8,0.3,-,6.37
3,"354Nuno TavaresNottingham Forest, 24, D(L),M(L)","Nuno Tavares Nottingham Forest, 24, D(L),M(L)",5(2),454,1.4,0.1,1.1,0.1,1.9,0.1,-,-,6.37
4,"355Nathaniel ClyneCrystal Palace, 32, D(LR),M(R)","Nathaniel Clyne Crystal Palace, 32, D(LR),M(R)",7(3),717,1.5,0.4,0.2,0.2,1.8,0.3,0.2,-,6.37
5,"356Carlos BalebaBrighton, 20, DMC","Carlos Baleba Brighton, 20, DMC",8(8),676,1.7,0.8,1.4,-,1.1,0.8,0.3,-,6.37
6,"357Oliver NorwoodSheff Utd, 32, M(C)","Oliver Norwood Sheff Utd, 32, M(C)",15(7),1377,1.8,0.9,0.7,-,1.6,1.1,0.3,-,6.37
7,"358Aymeric LaporteMan City, 29, D(CL)","Aymeric Laporte Man City, 29, D(CL)",0(1),11,-,-,-,-,1.0,-,1,-,6.37
8,"359Daiki HashiokaLuton, 24, D(R),M(R)","Daiki Hashioka Luton, 24, D(R),M(R)",0(1),37,1,-,-,-,1.0,-,-,-,6.37
9,"360Marvelous NakambaLuton, 30, DMC","Marvelous Nakamba Luton, 30, DMC",13,1133,3.1,0.8,1.8,0.2,0.8,1.4,0.5,-,6.37
0,"361Lorenz AssignonBurnley, 23, D(R)","Lorenz Assignon Burnley, 23, D(R)",4,350,3.0,0.8,2,0.5,2.8,0.5,0.5,-,6.37
1,"362Mason MountMan Utd, 25, M(CLR)","Mason Mount Man Utd, 25, M(CLR)",4(4),401,2.0,0.4,0.9,-,0.1,1.1,0.1,-,6.37
2,"363Pierre-Emile HøjbjergTottenham, 28, M(C)","Pierre-Emile Højbjerg Tottenham, 28, M(C)",6(19),978,0.9,0.5,0.6,0.1,0.9,0.7,0.3,-,6.36
3,"364Jay RodríguezBurnley, 34, AM(CLR),FW","Jay Rodríguez Burnley, 34, AM(CLR),FW",7(8),726,0.8,0.1,0.9,-,0.5,0.3,0.1,-,6.36
4,"365Jean-Ricner BellegardeWolves, 25, M(CLR)","Jean-Ricner Bellegarde Wolves, 25, M(CLR)",8(10),789,0.8,0.4,0.5,-,0.7,0.4,0.1,-,6.36
5,"366André GomesEverton, 30, M(CLR)","André Gomes Everton, 30, M(CLR)",1(3),168,0.3,0.3,2,-,-,0.3,-,-,6.36
6,"367Anel AhmedhodzicSheff Utd, 24, D(C)","Anel Ahmedhodzic Sheff Utd, 24, D(C)",19(1),1755,2.2,1.1,1.3,0.4,4.3,0.7,0.9,-,6.36
